,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
58,59,5,2015-07-31,7148.0,628.0,1,1,0,1
59,1,4,2015-07-30,5020.0,546.0,1,1,0,1
60,2,4,2015-07-30,5567.0,601.0,1,1,0,1
61,3,4,2015-07-30,8977.0,823.0,1,1,0,1
62,4,4,2015-07-30,10387.0,1276.0,1,1,0,1
63,5,4,2015-07-30,4943.0,539.0,1,1,0,1
64,6,4,2015-07-30,4790.0,541.0,1,1,0,1
65,7,4,2015-07-30,11560.0,1116.0,1,1,0,1
66,8,4,2015-07-30,8420.0,882.0,1,1,0,1
67,9,4,2015-07-30,7539.0,651.0,1,1,0,1
68,10,4,2015-07-30,6186.0,556.0,1,1,0,1
69,11,4,2015-07-30,7361.0,874.0,1,1,0,1
70,12,4,2015-07-30,7996.0,835.0,1,1,0,1
71,13,4,2015-07-30,7648.0,474.0,1,1,0,0
72,14,4,2015-07-30,5672.0,613.0,1,1,0,1
73,15,4,2015-07-30,8891.0,741.0,1,1,0,1
74,16,4,2015-07-30,10226.0,953.0,1,1,0,1
75,17,4,2015-07-30,7555.0,850.0,1,1,0,1
76,18,4,2015-07-30,7361.0,710.0,1,1,0,1
77,19,4,2015-07-30,8400.0,687.0,1,1,0,1
78,20,4,2015-07-30,12379.0,1185.0,1,1,0,0
79,21,4,2015-07-30,6985.0,534.0,1,1,0,1
80,22,4,2015-07-30,5685.0,575.0,1,1,0,0
81,23,4,2015-07-30,5801.0,484.0,1,1,0,1
82,24,4,2015-07-30,11439.0,884.0,1,1,0,1
83,25,4,2015-07-30,11272.0,1422.0,1,1,0,1
84,26,4,2015-07-30,7892.0,679.0,1,1,0,1
85,27,4,2015-07-30,10270.0,1065.0,1,1,0,1
86,28,4,2015-07-30,6210.0,635.0,1,1,0,1
87,29,4,2015-07-30,8039.0,661.0,1,1,0,1
88,30,4,2015-07-30,4881.0,682.0,1,1,0,1
89,31,4,2015-07-30,6712.0,582.0,1,1,0,1
90,32,4,2015-07-30,5779.0,617.0,1,1,0,0
91,33,4,2015-07-30,8146.0,740.0,1,1,0,1
92,34,4,2015-07-30,8443.0,992.0,1,1,0,1
93,35,4,2015-07-30,11088.0,727.0,1,1,0,1
94,36,4,2015-07-30,11955.0,1150.0,1,1,0,0
95,37,4,2015-07-30,7771.0,791.0,1,1,0,1
96,38,4,2015-07-30,6591.0,499.0,1,1,0,1
97,39,4,2015-07-30,5734.0,668.0,1,1,0,1
98,40,4,2015-07-30,5191.0,661.0,1,1,0,1
99,41,4,2015-07-30,6311.0,455.0,1,1,0,0
100,42,4,2015-07-30,10853.0,1104.0,1,1,0,1
101,43,4,2015-07-30,5982.0,526.0,1,1,0,1
102,44,4,2015-07-30,5159.0,562.0,1,1,0,1
103,45,4,2015-07-30,6063.0,445.0,1,1,0,1
104,46,4,2015-07-30,7057.0,760.0,1,1,0,0
105,47,4,2015-07-30,7585.0,864.0,1,1,0,1
106,48,4,2015-07-30,3297.0,335.0,1,1,0,1
107,49,4,2015-07-30,8996.0,590.0,1,1,0,1
108,50,4,2015-07-30,5324.0,376.0,1,1,0,1
109,51,4,2015-07-30,8280.0,,1,1,0,0
110,52,4,2015-07-30,7024.0,453.0,1,1,0,0
111,53,4,2015-07-30,6797.0,598.0,1,1,0,1
112,54,4,2015-07-30,9905.0,778.0,1,1,0,1
113,55,4,2015-07-30,5610.0,639.0,1,1,0,1
114,56,4,2015-07-30,8705.0,544.0,1,1,0,1
115,57,4,2015-07-30,9820.0,872.0,1,1,0,1
116,58,4,2015-07-30,8433.0,594.0,1,1,0,0
117,59,4,2015-07-30,5556.0,545.0,1,1,0,1
118,1,3,2015-07-29,4782.0,523.0,1,1,0,1
119,2,3,2015-07-29,6402.0,727.0,1,1,0,1
120,3,3,2015-07-29,7610.0,716.0,1,1,0,1
121,4,3,2015-07-29,10514.0,1258.0,1,1,0,1
122,5,3,2015-07-29,5899.0,658.0,1,1,0,1
123,6,3,2015-07-29,5275.0,542.0,1,1,0,1
124,7,3,2015-07-29,12074.0,1166.0,1,1,0,1
125,8,3,2015-07-29,7029.0,698.0,1,1,0,1
126,9,3,2015-07-29,7776.0,625.0,1,1,0,1
127,10,3,2015-07-29,5524.0,518.0,1,1,0,1
128,11,3,2015-07-29,8378.0,1064.0,1,1,0,1
129,12,3,2015-07-29,9236.0,989.0,1,1,0,1
130,13,3,2015-07-29,6648.0,406.0,1,1,0,0
131,14,3,2015-07-29,5412.0,579.0,1,1,0,1
132,15,3,2015-07-29,7583.0,668.0,1,1,0,1
133,16,3,2015-07-29,9471.0,930.0,1,1,0,0
134,17,3,2015-07-29,7179.0,861.0,1,1,0,1
135,18,3,2015-07-29,7833.0,732.0,1,1,0,1
136,19,3,2015-07-29,7182.0,610.0,1,1,0,1
137,20,3,2015-07-29,10728.0,1040.0,1,1,0,0
138,21,3,2015-07-29,7337.0,560.0,1,1,0,0
139,22,3,2015-07-29,5551.0,525.0,1,1,0,0
140,23,3,2015-07-29,6319.0,511.0,1,1,0,1
141,24,3,2015-07-29,10362.0,810.0,1,1,0,1
142,25,3,2015-07-29,10527.0,1254.0,1,1,0,1
143,26,3,2015-07-29,7298.0,556.0,1,1,0,1
144,27,3,2015-07-29,10318.0,1029.0,1,1,0,1
145,28,3,2015-07-29,5547.0,546.0,1,1,0,1
146,29,3,2015-07-29,7564.0,614.0,1,1,0,1
147,30,3,2015-07-29,4551.0,597.0,1,1,0,1
148,31,3,2015-07-29,5982.0,570.0,1,1,0,1
149,32,3,2015-07-29,4869.0,508.0,1,1,0,0
150,33,3,2015-07-29,7028.0,656.0,1,1,0,1
151,34,3,2015-07-29,8658.0,949.0,1,1,0,1
152,35,3,2015-07-29,10634.0,662.0,1,1,0,1
153,36,3,2015-07-29,11962.0,1195.0,1,1,0,0
154,37,3,2015-07-29,7442.0,710.0,1,1,0,1
155,38,3,2015-07-29,6595.0,519.0,1,1,0,1
156,39,3,2015-07-29,5617.0,662.0,1,1,0,1
157,40,3,2015-07-29,5004.0,598.0,1,1,0,1
158,41,3,2015-07-29,5673.0,396.0,1,1,0,0
159,42,3,2015-07-29,10932.0,1096.0,1,1,0,1
160,43,3,2015-07-29,6960.0,590.0,1,1,0,1
161,44,3,2015-07-29,5649.0,609.0,1,1,0,1
162,45,3,2015-07-29,5341.0,387.0,1,1,0,1
163,46,3,2015-07-29,6955.0,716.0,1,1,0,0
164,47,3,2015-07-29,8051.0,997.0,1,1,0,1
165,48,3,2015-07-29,3646.0,362.0,1,1,0,1
166,49,3,2015-07-29,9691.0,609.0,1,1,0,0
167,50,3,2015-07-29,4946.0,379.0,1,1,0,1
168,51,3,2015-07-29,7538.0,501.0,1,1,0,0
169,52,3,2015-07-29,7584.0,472.0,1,1,0,0
170,53,3,2015-07-29,6451.0,572.0,1,1,0,1
171,54,3,2015-07-29,9177.0,720.0,1,1,0,1
172,55,3,2015-07-29,5924.0,629.0,1,1,0,1
173,56,3,2015-07-29,9048.0,540.0,1,1,0,1
174,57,3,2015-07-29,10245.0,907.0,1,1,0,1
175,58,3,2015-07-29,8200.0,572.0,1,1,0,0
176,59,3,2015-07-29,5228.0,491.0,1,1,0,1
177,1,2,2015-07-28,5011.0,560.0,1,1,0,1
178,2,2,2015-07-28,5671.0,646.0,1,1,0,1
179,3,2,2015-07-28,8864.0,818.0,1,1,0,1
180,4,2,2015-07-28,10275.0,1191.0,1,1,0,1
181,5,2,2015-07-28,6083.0,598.0,1,1,0,1
182,6,2,2015-07-28,4839.0,576.0,1,1,0,1
183,7,2,2015-07-28,12342.0,1158.0,1,1,0,1
184,8,2,2015-07-28,6717.0,695.0,1,1,0,1
185,9,2,2015-07-28,8751.0,678.0,1,1,0,1
186,10,2,2015-07-28,6140.0,593.0,1,1,0,1
187,11,2,2015-07-28,6938.0,938.0,1,1,0,1
188,12,2,2015-07-28,8822.0,861.0,1,1,0,1
189,13,2,2015-07-28,6819.0,446.0,1,1,0,0
190,14,2,2015-07-28,5957.0,628.0,1,1,0,1
191,15,2,2015-07-28,7516.0,646.0,1,1,0,1
192,16,2,2015-07-28,9695.0,1013.0,1,1,0,0
193,17,2,2015-07-28,9316.0,983.0,1,1,0,1
194,18,2,2015-07-28,7704.0,724.0,1,1,0,1
195,19,2,2015-07-28,7717.0,633.0,1,1,0,1
196,20,2,2015-07-28,10884.0,1048.0,1,1,0,0
197,21,2,2015-07-28,7948.0,575.0,1,1,0,0
198,22,2,2015-07-28,5761.0,525.0,1,1,0,0
199,23,2,2015-07-28,5923.0,484.0,1,1,0,1
200,24,2,2015-07-28,11129.0,876.0,1,1,0,1
201,25,2,2015-07-28,10865.0,1363.0,1,1,0,1
202,26,2,2015-07-28,7926.0,547.0,1,1,0,1
203,27,2,2015-07-28,10956.0,1075.0,1,1,0,1
204,28,2,2015-07-28,6001.0,598.0,1,1,0,1
205,29,2,2015-07-28,8450.0,697.0,1,1,0,1
206,30,2,2015-07-28,4925.0,670.0,1,1,0,1
207,31,2,2015-07-28,5736.0,492.0,1,1,0,1
208,32,2,2015-07-28,5679.0,586.0,1,1,0,0
209,33,2,2015-07-28,8268.0,732.0,1,1,0,1
210,34,2,2015-07-28,9169.0,989.0,1,1,0,1
211,35,2,2015-07-28,10877.0,711.0,1,1,0,1
212,36,2,2015-07-28,10846.0,1166.0,1,1,0,0
213,37,2,2015-07-28,7976.0,756.0,1,1,0,1
214,38,2,2015-07-28,6650.0,552.0,1,1,0,1
215,39,2,2015-07-28,6145.0,660.0,1,1,0,1
216,40,2,2015-07-28,5387.0,673.0,1,1,0,1
217,41,2,2015-07-28,5600.0,411.0,1,1,0,0
218,42,2,2015-07-28,10896.0,1082.0,1,1,0,1
219,43,2,2015-07-28,7180.0,613.0,1,1,0,1
220,44,2,2015-07-28,6130.0,632.0,1,1,0,1
221,45,2,2015-07-28,5504.0,365.0,1,1,0,1
222,46,2,2015-07-28,6385.0,714.0,1,1,0,0
223,47,2,2015-07-28,8066.0,862.0,1,1,0,1
224,48,2,2015-07-28,3598.0,351.0,1,1,0,1
225,49,2,2015-07-28,9694.0,614.0,1,1,0,0
226,50,2,2015-07-28,5115.0,390.0,1,1,0,1
227,51,2,2015-07-28,7847.0,464.0,1,1,0,0
228,52,2,2015-07-28,7787.0,450.0,1,1,0,0
229,53,2,2015-07-28,6162.0,604.0,1,1,0,1
230,54,2,2015-07-28,8992.0,718.0,1,1,0,1
231,55,2,2015-07-28,6252.0,678.0,1,1,0,1
232,56,2,2015-07-28,8400.0,537.0,1,1,0,1
233,57,2,2015-07-28,11248.0,957.0,1,1,0,1
234,58,2,2015-07-28,8489.0,613.0,1,1,0,0
235,59,2,2015-07-28,6699.0,596.0,1,1,0,1
236,1,1,2015-07-27,6102.0,612.0,1,1,0,1
237,2,1,2015-07-27,6627.0,638.0,1,1,0,1
238,3,1,2015-07-27,8107.0,768.0,1,1,0,1
239,4,1,2015-07-27,11812.0,1379.0,1,1,0,1
240,5,1,2015-07-27,7059.0,650.0,1,1,0,1
241,6,1,2015-07-27,5723.0,582.0,1,1,0,1
242,7,1,2015-07-27,14869.0,1340.0,1,1,0,1
243,8,1,2015-07-27,8739.0,841.0,1,1,0,1
244,9,1,2015-07-27,10649.0,777.0,1,1,0,1
245,10,1,2015-07-27,7212.0,662.0,1,1,0,1
246,11,1,2015-07-27,8796.0,1070.0,1,1,0,1
247,12,1,2015-07-27,10227.0,979.0,1,1,0,1
248,13,1,2015-07-27,7926.0,527.0,1,1,0,0
249,14,1,2015-07-27,6614.0,727.0,1,1,0,1
250,15,1,2015-07-27,9053.0,753.0,1,1,0,1
251,16,1,2015-07-27,10260.0,1038.0,1,1,0,0
252,17,1,2015-07-27,8293.0,904.0,1,1,0,1
253,18,1,2015-07-27,10055.0,888.0,1,1,0,1
254,19,1,2015-07-27,8825.0,732.0,1,1,0,1
255,20,1,2015-07-27,11255.0,1183.0,1,1,0,0
256,21,1,2015-07-27,9657.0,634.0,1,1,0,0
257,22,1,2015-07-27,7114.0,621.0,1,1,0,0
258,23,1,2015-07-27,8488.0,615.0,1,1,0,1
259,24,1,2015-07-27,13096.0,973.0,1,1,0,1
260,25,1,2015-07-27,11806.0,1536.0,1,1,0,1
261,26,1,2015-07-27,11328.0,780.0,1,1,0,1
262,27,1,2015-07-27,12322.0,1116.0,1,1,0,1
263,28,1,2015-07-27,7392.0,666.0,1,1,0,1
264,29,1,2015-07-27,11659.0,889.0,1,1,0,1
265,30,1,2015-07-27,5235.0,677.0,1,1,0,1
266,31,1,2015-07-27,8054.0,684.0,1,1,0,1
267,32,1,2015-07-27,5947.0,585.0,1,1,0,0
268,33,1,2015-07-27,9866.0,901.0,1,1,0,1
269,34,1,2015-07-27,10274.0,1085.0,1,1,0,1
270,35,1,2015-07-27,13740.0,828.0,1,1,0,1
271,36,1,2015-07-27,12582.0,1247.0,1,1,0,0
272,37,1,2015-07-27,9573.0,882.0,1,1,0,1
273,38,1,2015-07-27,8759.0,708.0,1,1,0,1
274,39,1,2015-07-27,7084.0,748.0,1,1,0,1
275,40,1,2015-07-27,5282.0,643.0,1,1,0,1
276,41,1,2015-07-27,7295.0,538.0,1,1,0,0
277,42,1,2015-07-27,12420.0,1155.0,1,1,0,1
278,43,1,2015-07-27,8816.0,710.0,1,1,0,1
279,44,1,2015-07-27,8206.0,771.0,1,1,0,1
280,45,1,2015-07-27,7450.0,500.0,1,1,0,1
281,46,1,2015-07-27,10068.0,896.0,1,1,0,0
282,47,1,2015-07-27,8633.0,973.0,1,1,0,1
283,48,1,2015-07-27,4405.0,408.0,1,1,0,1
284,49,1,2015-07-27,10561.0,675.0,1,1,0,0
285,50,1,2015-07-27,6684.0,464.0,1,1,0,1
286,51,1,2015-07-27,8672.0,563.0,1,1,0,0
287,52,1,2015-07-27,9118.0,508.0,1,1,0,0
288,53,1,2015-07-27,6853.0,621.0,1,1,0,1
289,54,1,2015-07-27,11237.0,849.0,1,1,0,1
290,55,1,2015-07-27,6017.0,670.0,1,1,0,1
291,56,1,2015-07-27,9960.0,632.0,1,1,0,1
292,57,1,2015-07-27,14080.0,1178.0,1,1,0,1
293,58,1,2015-07-27,10750.0,660.0,1,1,0,0
294,59,1,2015-07-27,7519.0,645.0,1,1,0,1
295,1,7,2015-07-26,0.0,0.0,0,0,0,0
296,2,7,2015-07-26,0.0,0.0,0,0,0,0
297,3,7,2015-07-26,0.0,0.0,0,0,0,0
298,4,7,2015-07-26,0.0,0.0,0,0,0,0
299,5,7,2015-07-26,0.0,0.0,0,0,0,0
300,6,7,2015-07-26,0.0,0.0,0,0,0,0
301,7,7,2015-07-26,0.0,0.0,0,0,0,0
302,8,7,2015-07-26,0.0,0.0,0,0,0,0
303,9,7,2015-07-26,0.0,0.0,0,0,0,0
304,10,7,2015-07-26,0.0,0.0,0,0,0,1
305,11,7,2015-07-26,0.0,0.0,0,0,0,0
306,12,7,2015-07-26,0.0,0.0,0,0,0,0
307,13,7,2015-07-26,0.0,0.0,0,0,0,0
308,14,7,2015-07-26,0.0,0.0,0,0,0,0
309,15,7,2015-07-26,0.0,0.0,0,0,0,0
310,16,7,2015-07-26,0.0,0.0,0,0,0,0
311,17,7,2015-07-26,0.0,0.0,0,0,0,0
312,18,7,2015-07-26,0.0,0.0,0,0,0,0
313,19,7,2015-07-26,0.0,0.0,0,0,0,0
314,20,7,2015-07-26,0.0,0.0,0,0,0,0
315,21,7,2015-07-26,0.0,0.0,0,0,0,0
316,22,7,2015-07-26,0.0,0.0,0,0,0,0
317,23,7,2015-07-26,0.0,0.0,0,0,0,0
318,24,7,2015-07-26,0.0,0.0,0,0,0,0
319,25,7,2015-07-26,0.0,0.0,0,0,0,0
320,26,7,2015-07-26,0.0,0.0,0,0,0,0
321,27,7,2015-07-26,0.0,0.0,0,0,0,0
322,28,7,2015-07-26,0.0,0.0,0,0,0,0
323,29,7,2015-07-26,0.0,0.0,0,0,0,0
324,30,7,2015-07-26,0.0,0.0,0,0,0,0
325,31,7,2015-07-26,0.0,0.0,0,0,0,0
326,32,7,2015-07-26,0.0,0.0,0,0,0,0
327,33,7,2015-07-26,0.0,0.0,0,0,0,0
328,34,7,2015-07-26,0.0,0.0,0,0,0,0
329,35,7,2015-07-26,0.0,0.0,0,0,0,0
330,36,7,2015-07-26,0.0,0.0,0,0,0,0
331,37,7,2015-07-26,0.0,0.0,0,0,0,0
332,38,7,2015-07-26,0.0,0.0,0,0,0,0
333,39,7,2015-07-26,0.0,0.0,0,0,0,0
334,40,7,2015-07-26,0.0,0.0,0,0,0,0
335,41,7,2015-07-26,0.0,0.0,0,0,0,0
336,42,7,2015-07-26,0.0,0.0,0,0,0,0
337,43,7,2015-07-26,0.0,0.0,0,0,0,0
338,44,7,2015-07-26,0.0,0.0,0,0,0,0
339,45,7,2015-07-26,0.0,0.0,0,0,0,0
340,46,7,2015-07-26,0.0,0.0,0,0,0,0
341,47,7,2015-07-26,0.0,0.0,0,0,0,0
342,48,7,2015-07-26,0.0,0.0,0,0,0,0
343,49,7,2015-07-26,0.0,0.0,0,0,0,0
344,50,7,2015-07-26,0.0,0.0,0,0,0,0
345,51,7,2015-07-26,0.0,0.0,0,0,0,0
346,52,7,2015-07-26,0.0,0.0,0,0,0,0
347,53,7,2015-07-26,0.0,0.0,0,0,0,0
348,54,7,2015-07-26,0.0,0.0,0,0,0,0
349,55,7,2015-07-26,0.0,0.0,0,0,0,0
350,56,7,2015-07-26,0.0,0.0,0,0,0,0
351,57,7,2015-07-26,0.0,0.0,0,0,0,0
352,58,7,2015-07-26,0.0,0.0,0,0,0,0
353,59,7,2015-07-26,0.0,0.0,0,0,0,0
354,1,6,2015-07-25,4364.0,500.0,1,0,0,0
355,2,6,2015-07-25,2512.0,316.0,1,0,0,0
356,3,6,2015-07-25,3878.0,412.0,1,0,0,0
357,4,6,2015-07-25,9322.0,1219.0,1,0,0,0
358,5,6,2015-07-25,2030.0,228.0,1,0,0,0
359,6,6,2015-07-25,2892.0,306.0,1,0,0,0
360,7,6,2015-07-25,6574.0,705.0,1,0,0,0
361,8,6,2015-07-25,3288.0,398.0,1,0,0,0
362,9,6,2015-07-25,5330.0,468.0,1,0,0,0
363,10,6,2015-07-25,4713.0,475.0,1,0,0,1
364,11,6,2015-07-25,4712.0,642.0,1,0,0,0
365,12,6,2015-07-25,5185.0,651.0,1,0,0,0
366,13,6,2015-07-25,4361.0,340.0,1,0,0,0
367,14,6,2015-07-25,2952.0,348.0,1,0,0,0
368,15,6,2015-07-25,5209.0,,1,0,0,0
369,16,6,2015-07-25,6105.0,571.0,1,0,0,0
370,17,6,2015-07-25,2572.0,357.0,1,0,0,0
371,18,6,2015-07-25,4416.0,475.0,1,0,0,0
372,19,6,2015-07-25,3562.0,299.0,1,0,0,0
373,20,6,2015-07-25,6588.0,643.0,1,0,0,0
374,21,6,2015-07-25,5808.0,512.0,1,0,0,0
375,22,6,2015-07-25,3540.0,415.0,1,0,0,0
376,23,6,2015-07-25,4191.0,388.0,1,0,0,0
377,24,6,2015-07-25,5916.0,537.0,1,0,0,0
378,25,6,2015-07-25,7285.0,1004.0,1,0,0,0
379,26,6,2015-07-25,5568.0,498.0,1,0,0,0
380,27,6,2015-07-25,5120.0,598.0,1,0,0,0
381,28,6,2015-07-25,1864.0,231.0,1,0,0,0
382,29,6,2015-07-25,6084.0,526.0,1,0,0,0
383,30,6,2015-07-25,2513.0,394.0,1,0,0,0
384,31,6,2015-07-25,5403.0,517.0,1,0,0,0
385,32,6,2015-07-25,2532.0,308.0,1,0,0,0
386,33,6,2015-07-25,7188.0,694.0,1,0,0,0
387,34,6,2015-07-25,7089.0,824.0,1,0,0,0
388,35,6,2015-07-25,6557.0,507.0,1,0,0,0
389,36,6,2015-07-25,10830.0,1107.0,1,0,0,0
390,37,6,2015-07-25,6547.0,776.0,1,0,0,0
391,38,6,2015-07-25,5559.0,508.0,1,0,0,0
392,39,6,2015-07-25,2022.0,300.0,1,0,0,0
393,40,6,2015-07-25,3496.0,478.0,1,0,0,0
394,41,6,2015-07-25,6217.0,469.0,1,0,0,0
395,42,6,2015-07-25,6044.0,662.0,1,0,0,0
396,43,6,2015-07-25,3931.0,338.0,1,0,0,0
397,44,6,2015-07-25,2755.0,346.0,1,0,0,0
398,45,6,2015-07-25,5828.0,474.0,1,0,0,0
399,46,6,2015-07-25,5257.0,651.0,1,0,0,0
400,47,6,2015-07-25,4845.0,627.0,1,0,0,0
401,48,6,2015-07-25,2090.0,217.0,1,0,0,0
402,49,6,2015-07-25,8302.0,602.0,1,0,0,0
403,50,6,2015-07-25,4356.0,360.0,1,0,0,0
404,51,6,2015-07-25,7902.0,580.0,1,0,0,0
405,52,6,2015-07-25,6117.0,442.0,1,0,0,0
406,53,6,2015-07-25,2468.0,305.0,1,0,0,0
407,54,6,2015-07-25,8142.0,760.0,1,0,0,0
408,55,6,2015-07-25,2632.0,321.0,1,0,0,0
409,56,6,2015-07-25,9229.0,627.0,1,0,0,0
410,57,6,2015-07-25,6477.0,635.0,1,0,0,0
411,58,6,2015-07-25,6841.0,545.0,1,0,0,0
412,59,6,2015-07-25,2624.0,254.0,1,0,0,0
413,1,5,2015-07-24,3706.0,459.0,1,0,0,0
414,2,5,2015-07-24,3854.0,468.0,1,0,0,1
415,3,5,2015-07-24,5080.0,607.0,1,0,0,1
416,4,5,2015-07-24,8322.0,1108.0,1,0,0,1
417,5,5,2015-07-24,3815.0,485.0,1,0,0,1
418,6,5,2015-07-24,3804.0,454.0,1,0,0,1
419,7,5,2015-07-24,9203.0,1062.0,1,0,0,1
420,8,5,2015-07-24,4917.0,558.0,1,0,0,1
421,9,5,2015-07-24,5464.0,546.0,1,0,0,1
422,10,5,2015-07-24,6152.0,603.0,1,0,0,1
423,11,5,2015-07-24,6192.0,869.0,1,0,0,1
424,12,5,2015-07-24,6078.0,758.0,1,0,0,1
425,13,5,2015-07-24,3483.0,287.0,1,0,0,0
426,14,5,2015-07-24,4775.0,567.0,1,0,0,1
427,15,5,2015-07-24,5255.0,573.0,1,0,0,1
428,16,5,2015-07-24,7781.0,888.0,1,0,0,0
429,17,5,2015-07-24,4443.0,657.0,1,0,0,1
430,18,5,2015-07-24,6409.0,717.0,1,0,0,1
431,19,5,2015-07-24,5330.0,509.0,1,0,0,1
432,20,5,2015-07-24,7988.0,885.0,1,0,0,0
433,21,5,2015-07-24,4138.0,427.0,1,0,0,0
434,22,5,2015-07-24,5221.0,592.0,1,0,0,0
435,23,5,2015-07-24,4483.0,434.0,1,0,0,0
436,24,5,2015-07-24,7692.0,681.0,1,0,0,1
437,25,5,2015-07-24,7165.0,1120.0,1,0,0,1
438,26,5,2015-07-24,6003.0,498.0,1,0,0,1
439,27,5,2015-07-24,6382.0,845.0,1,0,0,1
440,28,5,2015-07-24,3970.0,469.0,1,0,0,1
441,29,5,2015-07-24,6419.0,556.0,1,0,0,1
442,30,5,2015-07-24,2722.0,460.0,1,0,0,1
443,31,5,2015-07-24,5856.0,577.0,1,0,0,1
444,32,5,2015-07-24,3416.0,436.0,1,0,0,0
445,33,5,2015-07-24,6789.0,689.0,1,0,0,1
446,34,5,2015-07-24,6262.0,839.0,1,0,0,1
447,35,5,2015-07-24,8602.0,676.0,1,0,0,1
448,36,5,2015-07-24,9825.0,1065.0,1,0,0,0
449,37,5,2015-07-24,5547.0,636.0,1,0,0,1
450,38,5,2015-07-24,4366.0,420.0,1,0,0,1
451,39,5,2015-07-24,3448.0,485.0,1,0,0,1
452,40,5,2015-07-24,3941.0,494.0,1,0,0,1
453,41,5,2015-07-24,6038.0,444.0,1,0,0,0
454,42,5,2015-07-24,8577.0,946.0,1,0,0,1
455,43,5,2015-07-24,5554.0,528.0,1,0,0,1
456,44,5,2015-07-24,4224.0,509.0,1,0,0,1
457,45,5,2015-07-24,4906.0,365.0,1,0,0,0
458,46,5,2015-07-24,4902.0,602.0,1,0,0,0
459,47,5,2015-07-24,5599.0,768.0,1,0,0,1
460,48,5,2015-07-24,2821.0,334.0,1,0,0,1
461,49,5,2015-07-24,7199.0,502.0,1,0,0,0
462,50,5,2015-07-24,3682.0,318.0,1,0,0,0
463,51,5,2015-07-24,5737.0,448.0,1,0,0,0
