Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,month,year
5589,603,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,7,13
4057,464,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,6,13
4335,508,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,6,13
5064,528,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,6,13
5187,554,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,6,13
4679,529,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,6,13
4284,500,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,6,13
4773,511,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,6,13
4856,541,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,6,13
8688,795,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,5,13
5413,572,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,4,13
3810,453,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,4,13
5877,614,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,4,13
5219,594,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,4,13
7282,719,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,3,13
5567,618,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,3,13
6547,694,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,3,13
4572,534,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,2,13
5870,688,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,1,13
4547,503,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,1,13
6097,626,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,1,13
4905,578,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,1,13
7265,638,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",7,15
6767,645,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",7,15
4844,531,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",7,15
5867,1029,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",7,15
2707,303,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,15
5459,654,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,15
4606,512,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,15
4614,491,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,15
7729,805,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,15
4657,560,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,15
3063,331,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,15
7490,794,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,15
8825,747,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,15
5885,592,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,15
6396,734,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,15
7338,780,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,15
7520,756,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,15
7170,647,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,15
3406,340,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,15
5961,590,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,15
7272,703,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,15
4294,501,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,15
5170,582,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,15
4258,458,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",3,15
7123,666,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",3,15
4579,514,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",3,15
4499,532,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",3,15
3160,351,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,15
5810,550,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,15
5878,603,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,15
7521,684,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,15
8963,808,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,15
2901,326,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,15
5130,606,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,15
4446,491,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,15
4610,528,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,15
6029,573,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,15
6442,632,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,15
6145,632,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",12,14
8894,777,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",12,14
6547,717,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",12,14
9457,783,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",12,14
3796,372,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",11,14
7734,696,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",11,14
4709,552,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",11,14
3352,373,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",11,14
6937,630,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",11,14
8332,783,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",11,14
5654,668,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",10,14
5674,578,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",10,14
7315,684,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",10,14
2943,330,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",10,14
5436,529,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",10,14
3079,354,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",9,14
7732,735,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",9,14
5826,699,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",8,14
4109,462,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",8,14
3183,336,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",8,14
4854,535,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",8,14
5095,498,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",8,14
7098,767,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",8,14
5521,550,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",7,14
7982,869,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",7,14
2838,324,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,14
6068,617,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,14
8142,748,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,14
3277,384,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,14
6260,641,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,14
5855,652,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,14
5469,582,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,14
2884,352,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,14
4992,573,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,14
7384,737,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,14
4162,471,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,14
5449,587,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,14
3143,328,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",3,14
4898,489,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",3,14
4873,523,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",3,14
7797,743,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",3,14
3751,430,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",3,14
4076,501,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",3,14
4315,516,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",3,14
5784,611,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",3,14
5317,527,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,14
2809,300,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,14
5502,654,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,14
8163,791,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,14
4174,497,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,14
2564,290,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,14
4692,497,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,14
5774,628,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,14
7294,727,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,14
3081,321,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,14
2684,277,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",12,13
9382,823,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",12,13
5360,544,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",12,13
9056,854,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",12,13
8878,741,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",12,13
5225,556,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",11,13
7739,798,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",11,13
7049,681,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",11,13
6032,582,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",10,13
7268,730,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",10,13
4056,472,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",10,13
5527,555,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",10,13
6973,691,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",10,13
7057,670,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",9,13
5199,625,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",9,13
6176,618,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",9,13
7285,707,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",9,13
2870,330,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",9,13
6982,702,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",8,13
4534,536,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",8,13
4411,517,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",8,13
4275,528,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",8,13
4007,456,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",8,13
2351,292,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",7,13
4195,469,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",7,13
5486,601,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",7,13
5979,735,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",7,13
4115,428,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,13
5366,575,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,13
4950,562,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,13
5230,547,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,13
4828,595,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,13
4281,495,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",6,13
7429,678,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,13
4469,553,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,13
2668,325,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,13
5952,635,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,13
7070,807,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,13
5524,636,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,13
6357,752,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,13
2599,339,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,13
6732,794,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",5,13
2431,297,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,13
7026,766,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,13
6409,634,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,13
3042,341,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,13
5459,683,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,13
4853,519,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,13
7428,732,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,13
4150,507,1,0,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",4,13
4899,493,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",3,13
8305,712,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",3,13
6387,640,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",3,13
4399,480,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,13
8250,757,1,1,0,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,13
2691,290,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,13
4472,504,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,13
6943,674,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,13
7168,688,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,13
5099,554,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2,13
5111,522,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,13
5673,582,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,13
2702,303,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,13
4789,591,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,13
4525,530,1,0,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,13
6255,637,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,13
9135,821,1,1,0,1,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",7,15
9800,823,1,1,0,1,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",7,15
4675,417,1,0,0,0,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",7,15
7352,673,1,1,0,1,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",7,15
9394,769,1,1,0,1,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",7,15
7005,689,1,0,0,1,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",7,15
